com.samsung.shealth.stress,6212007,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2022-04-16 01:00:00.000,,ed7a0243-974f-459f-9f2d-44b42c111a2e.binning_data.json,10011,2022-04-16 02:02:34.297,2022-04-16 02:02:34.297,96.0,0.0,36.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 01:59:59.999,ed7a0243-974f-459f-9f2d-44b42c111a2e,
2022-04-16 06:00:00.000,,360f96ea-9bb0-4362-bebb-9f5f25dc700b.binning_data.json,10011,2022-04-16 16:39:55.428,2022-04-16 06:25:00.473,100.0,0.0,13.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 06:59:59.999,360f96ea-9bb0-4362-bebb-9f5f25dc700b,
2022-04-16 18:00:00.000,,ad3faa2c-60d4-41d6-9e10-5ff140db9274.binning_data.json,10011,2022-04-16 19:01:05.255,2022-04-16 19:01:05.255,92.0,1.0,27.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 18:59:59.999,ad3faa2c-60d4-41d6-9e10-5ff140db9274,
2022-04-16 17:00:00.000,,91b904b3-120f-4c81-b321-73a3526b2bc9.binning_data.json,10011,2022-04-16 18:01:20.009,2022-04-16 17:54:53.467,83.0,1.0,19.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 17:59:59.999,91b904b3-120f-4c81-b321-73a3526b2bc9,
2022-04-16 05:00:00.000,,0d2a82fb-6d05-467b-82e0-22e07baf9615.binning_data.json,10011,2022-04-16 06:09:59.438,2022-04-16 05:26:03.524,41.0,0.0,8.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 05:59:59.999,0d2a82fb-6d05-467b-82e0-22e07baf9615,
2022-04-16 16:00:00.000,,f24922bf-b826-461e-aeac-4d1cdc80a627.binning_data.json,10011,2022-04-16 17:01:57.360,2022-04-16 17:01:57.360,100.0,1.0,35.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 16:59:59.999,f24922bf-b826-461e-aeac-4d1cdc80a627,
2022-04-16 21:00:00.000,,aed04615-f4ef-4d53-8c35-f0b0ec01c791.binning_data.json,10011,2022-04-16 22:01:06.056,2022-04-16 22:01:06.056,99.0,0.0,31.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 21:59:59.999,aed04615-f4ef-4d53-8c35-f0b0ec01c791,
2022-04-16 23:00:00.000,,d10890db-03b4-4ee0-813c-ad7b75e67060.binning_data.json,10011,2022-04-17 00:05:09.721,2022-04-17 00:05:09.721,94.0,0.0,14.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 23:59:59.999,d10890db-03b4-4ee0-813c-ad7b75e67060,
2022-04-16 04:00:00.000,,3a6a53cd-f252-4670-b3b8-5a9e34c65d37.binning_data.json,10011,2022-04-16 05:06:40.541,2022-04-16 05:06:40.541,97.0,0.0,25.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 04:59:59.999,3a6a53cd-f252-4670-b3b8-5a9e34c65d37,
2022-04-17 00:00:00.000,,0a660fe5-4aca-4944-a91c-2c14decdcf17.binning_data.json,10011,2022-04-17 01:11:32.294,2022-04-17 01:11:32.294,81.0,0.0,12.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 00:59:59.999,0a660fe5-4aca-4944-a91c-2c14decdcf17,
