com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
7255,4,1,13,2022-04-11 18:02:00.000,,,2022-04-11 18:03:37.708,2022-04-11 18:03:37.708,14,1.4444444,10.48,0.65,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 18:03:00.000,14670ede-a19e-4286-8838-1b5267b7c0b1,
15648,4,0,27,2022-04-11 16:15:00.000,,,2022-04-11 16:16:02.784,2022-04-11 16:15:33.746,27,1.2569926,19.669973,1.1899991,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 16:16:00.000,945da87d-c271-40a9-9421-a6099aca276b,
7495,4,0,16,2022-04-11 04:28:00.000,,,2022-04-11 04:28:55.262,2022-04-11 04:28:55.262,16,1.7063429,12.7890625,0.64875793,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 04:29:00.000,de86b8b3-7c09-4b63-9f71-15766733d3a1,
4677,4,0,6,2022-04-11 19:52:00.000,,,2022-04-11 19:53:22.427,2022-04-11 19:53:22.427,6,3.4722223,16.242188,1.2473297,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 19:53:00.000,1d038d66-a196-4cfd-8d68-90864e7610a9,
7930,4,0,14,2022-04-11 18:08:00.000,,,2022-04-11 18:09:02.527,2022-04-11 18:09:02.527,14,1.3332272,10.57251,0.5775223,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 18:09:00.000,d4662c89-5e63-4dc0-8683-b03540ce618d,
47908,4,0,96,2022-04-11 17:53:00.000,,,2022-04-11 17:53:59.489,2022-04-11 17:53:05.115,96,1.5853072,75.94922,3.899437,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 17:54:00.000,c08a2c78-dee3-402e-a759-ae7a315f0081,
24522,4,0,40,2022-04-11 18:08:00.000,,,2022-04-11 18:09:07.639,2022-04-11 18:08:24.259,40,1.1479256,28.149956,1.6300035,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 18:09:00.000,609da5db-cc2e-43ef-94f4-82186fa55790,
56283,4,0,97,2022-04-11 19:26:00.000,,,2022-04-11 19:26:59.991,2022-04-11 19:26:00.543,97,1.3085288,73.64856,3.9920654,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 19:27:00.000,713c2290-5922-4f3e-a26f-4dc2b818bb42,
20995,4,3,46,2022-04-11 18:03:00.000,,,2022-04-11 18:04:01.158,2022-04-11 18:03:37.821,49,1.7865518,37.509933,1.9800034,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 18:04:00.000,aca28ea5-64ef-43ad-99fe-d134c0dbf08e,
7291,4,0,13,2022-04-11 20:40:00.000,,,2022-04-11 20:40:43.494,2022-04-11 20:40:43.494,13,1.3055556,9.52,0.51,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 20:41:00.000,9b4782dd-8253-4d0c-aa4a-f32ad6749c32,
